	patient	component_size	other	CD15-Tumor	CD15+Tumor	Tcell	Bcell	BnTcell	Macrophage	Neutrophil	DC
627	0925	166	0.6867469879518072	0.05421686746987952	0.0	0.21084337349397592	0.006024096385542169	0.0	0.030120481927710843	0.012048192771084338	0.0
628	0925	142	0.6408450704225352	0.13380281690140844	0.0	0.2112676056338028	0.0	0.0	0.014084507042253521	0.0	0.0
629	0925	3321	0.39325504366154773	0.08340861186389642	0.0009033423667570009	0.38361939174947307	0.03071364046973803	0.019572417946401688	0.056910569105691054	0.0018066847335140017	0.02981029810298103
630	0925	319	0.38557993730407525	0.20689655172413793	0.0	0.2664576802507837	0.006269592476489028	0.0	0.07523510971786834	0.01567398119122257	0.0438871473354232
631	0925	122	0.4344262295081967	0.19672131147540983	0.0	0.28688524590163933	0.00819672131147541	0.0	0.05737704918032787	0.0	0.01639344262295082
632	0925	207	0.42995169082125606	0.2608695652173913	0.0	0.25120772946859904	0.004830917874396135	0.0	0.04830917874396135	0.004830917874396135	0.0
633	0925	270	0.10740740740740741	0.6148148148148148	0.0	0.22592592592592592	0.003703703703703704	0.0	0.040740740740740744	0.0	0.007407407407407408
634	0925	923	0.46045503791982667	0.15926327193932827	0.0	0.3271939328277356	0.015167930660888408	0.0032502708559046588	0.032502708559046585	0.0021668472372697724	0.0
635	0925	1377	0.4851125635439361	0.0813362381989833	0.0	0.3514887436456064	0.02178649237472767	0.008714596949891068	0.04793028322440087	0.002904865649963689	0.0007262164124909223
636	0925	172	0.2441860465116279	0.46511627906976744	0.0	0.22093023255813954	0.005813953488372093	0.011627906976744186	0.046511627906976744	0.0	0.005813953488372093
637	0925	81	0.4567901234567901	0.012345679012345678	0.0	0.35802469135802467	0.04938271604938271	0.012345679012345678	0.08641975308641975	0.0	0.024691358024691357
638	0925	155	0.3741935483870968	0.05806451612903226	0.0	0.36129032258064514	0.1032258064516129	0.06451612903225806	0.03225806451612903	0.0	0.0064516129032258064
639	0925	208	0.12980769230769232	0.2548076923076923	0.14903846153846154	0.13942307692307693	0.0	0.0	0.07692307692307693	0.25	0.0
640	0925	305	0.4524590163934426	0.18032786885245902	0.0	0.21311475409836064	0.013114754098360656	0.0	0.11147540983606558	0.0	0.029508196721311476
641	0775	251	0.36254980079681276	0.035856573705179286	0.0	0.23904382470119523	0.1394422310756972	0.06772908366533864	0.15139442231075698	0.0	0.00398406374501992
642	0775	206	0.23786407766990292	0.529126213592233	0.0	0.03398058252427184	0.1941747572815534	0.0	0.0048543689320388345	0.0	0.0
643	0775	81	0.2962962962962963	0.37037037037037035	0.012345679012345678	0.012345679012345678	0.2716049382716049	0.0	0.037037037037037035	0.0	0.0
644	0775	191	0.34554973821989526	0.39267015706806285	0.0	0.1256544502617801	0.07329842931937172	0.005235602094240838	0.04712041884816754	0.0	0.010471204188481676
645	0775	279	0.5089605734767025	0.21863799283154123	0.0	0.16487455197132617	0.025089605734767026	0.0	0.06810035842293907	0.0	0.014336917562724014
646	0775	382	0.3481675392670157	0.31675392670157065	0.002617801047120419	0.09947643979057591	0.12303664921465969	0.01832460732984293	0.08638743455497382	0.0	0.005235602094240838
647	0775	89	0.2247191011235955	0.5168539325842697	0.0	0.0	0.25842696629213485	0.0	0.0	0.0	0.0
648	0775	85	0.17647058823529413	0.5882352941176471	0.0	0.0	0.23529411764705882	0.0	0.0	0.0	0.0
649	0775	151	0.5695364238410596	0.1456953642384106	0.026490066225165563	0.11920529801324503	0.046357615894039736	0.0	0.08609271523178808	0.0	0.006622516556291391
650	0775	74	0.08108108108108109	0.6486486486486487	0.0	0.0	0.2702702702702703	0.0	0.0	0.0	0.0
651	0775	77	0.1038961038961039	0.5324675324675324	0.0	0.0	0.36363636363636365	0.0	0.0	0.0	0.0
652	0775	70	0.07142857142857142	0.5571428571428572	0.0	0.0	0.37142857142857144	0.0	0.0	0.0	0.0
653	0775	97	0.14432989690721648	0.6082474226804123	0.0	0.0	0.24742268041237114	0.0	0.0	0.0	0.0
654	0775	60	0.3333333333333333	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0
655	0775	111	0.17117117117117117	0.5855855855855856	0.0	0.0	0.24324324324324326	0.0	0.0	0.0	0.0
656	0775	268	0.2574626865671642	0.373134328358209	0.011194029850746268	0.08955223880597014	0.15671641791044777	0.0037313432835820895	0.06716417910447761	0.0	0.041044776119402986
657	0775	172	0.37790697674418605	0.313953488372093	0.0	0.12790697674418605	0.13372093023255813	0.0	0.03488372093023256	0.0	0.011627906976744186
658	0775	132	0.16666666666666666	0.6439393939393939	0.0	0.0	0.1893939393939394	0.0	0.0	0.0	0.0
659	0808	303	0.5643564356435643	0.0	0.0	0.26732673267326734	0.026402640264026403	0.0033003300330033004	0.09900990099009901	0.036303630363036306	0.0033003300330033004
660	0808	136	0.3088235294117647	0.39705882352941174	0.0	0.17647058823529413	0.029411764705882353	0.0	0.08088235294117647	0.007352941176470588	0.0
661	0808	1083	0.5752539242843951	0.08587257617728532	0.0	0.24284395198522624	0.024930747922437674	0.010156971375807941	0.05263157894736842	0.0046168051708217915	0.003693444136657433
662	0808	429	0.6410256410256411	0.10023310023310024	0.0	0.17482517482517482	0.006993006993006993	0.002331002331002331	0.06526806526806526	0.0	0.009324009324009324
663	0808	144	0.2916666666666667	0.4722222222222222	0.0	0.16666666666666666	0.0	0.0	0.0625	0.006944444444444444	0.0
664	0808	99	0.5757575757575758	0.020202020202020204	0.0	0.2727272727272727	0.020202020202020204	0.0	0.10101010101010101	0.010101010101010102	0.0
665	0808	107	0.45794392523364486	0.205607476635514	0.0	0.2336448598130841	0.0	0.0	0.08411214953271028	0.009345794392523364	0.009345794392523364
666	0808	163	0.5644171779141104	0.2085889570552147	0.0	0.15950920245398773	0.018404907975460124	0.0	0.049079754601226995	0.0	0.0
667	0808	146	0.4246575342465753	0.3561643835616438	0.0	0.1643835616438356	0.0	0.0	0.04794520547945205	0.0	0.00684931506849315
668	0808	116	0.646551724137931	0.1724137931034483	0.0	0.14655172413793102	0.02586206896551724	0.0	0.008620689655172414	0.0	0.0
669	0808	126	0.5476190476190477	0.19047619047619047	0.0	0.1984126984126984	0.0	0.0	0.03968253968253968	0.0	0.023809523809523808
